City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Gweru,ZW,77.5,broken clouds,-19.45,29.8167,Suskwe Lodges
9,Hermanus,ZA,75.9,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
11,Poum,NC,81.12,overcast clouds,-20.2333,164.0167,
14,Cape Town,ZA,76.12,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
15,Carnarvon,AU,84.27,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
17,Port Blair,IN,86.04,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
18,Avarua,CK,79.56,clear sky,-21.2078,-159.775,Paradise Inn
29,Rikitea,PF,79.11,light rain,-23.1203,-134.9692,People ThankYou
31,Brebes,ID,84.49,overcast clouds,-6.8706,109.0369,Hotel Grand Dian Brebes
32,Butaritari,KI,82.08,light rain,3.0707,172.7902,Isles Sunset Lodge
36,Manaus,BR,75.7,scattered clouds,-3.1019,-60.025,Manaus Hotéis Millennium
40,Kyabe,TD,84.16,few clouds,9.4515,18.9449,
43,Isangel,VU,80.29,overcast clouds,-19.55,169.2667,Tanna Lodge
47,Mahebourg,MU,80.26,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
49,Acarau,BR,76.32,scattered clouds,-2.8856,-40.12,castelo pizzaria
50,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
51,Metro,ID,86.76,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
52,Meulaboh,ID,85.39,broken clouds,4.1363,96.1285,Kost Pria
61,Bathsheba,BB,75.81,broken clouds,13.2167,-59.5167,Atlantis Hotel
62,Honiara,SB,78.42,overcast clouds,-9.4333,159.95,Heritage Park Hotel
65,Ewa Beach,US,75.15,overcast clouds,21.3156,-158.0072,Uncle Junior Robert
66,Dunkwa,GH,78.64,broken clouds,5.9656,-1.78,Tim Freeman Gold City Hotel
69,Kibala,TD,84.58,few clouds,9.1104,18.3463,hotel safari
71,Ranong,TH,84.13,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
73,Kathu,TH,89.62,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
76,Merauke,ID,83.97,overcast clouds,-8.4667,140.3333,
79,Axim,GH,80.4,few clouds,4.8699,-2.2405,Axim Beach Resort And Spa
82,Saint-Philippe,RE,83.79,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
85,Grand Gaube,MU,81.37,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
89,Alice Springs,AU,89.15,clear sky,-23.7,133.8833,Desert Palms Alice Springs
95,Bambous Virieux,MU,80.22,light rain,-20.3428,57.7575,Casa Tia Villa
101,Panhala,IN,83.21,clear sky,16.8167,74.1167,Bunglow @ Panhala
106,Gigmoto,PH,80.44,broken clouds,13.7796,124.39,Cj's Travellers Inn
111,Namibe,AO,77.22,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
114,Dingle,PH,81.34,light rain,10.9995,122.6711,SEGAYA PROPERTY
118,Bang Saphan,TH,86.04,overcast clouds,11.2126,99.5117,Ladawan Boutique Hotel
125,Luanda,AO,78.31,broken clouds,-8.8368,13.2343,Hotel Fórum
127,Victoria,HK,78.19,clear sky,22.2855,114.1577,Mini Hotel Central
128,Manggar,ID,83.61,overcast clouds,-2.8833,108.2667,Guest Hotel
132,Kruisfontein,ZA,76.75,clear sky,-34.0033,24.7314,Oyster Bay House Rental
135,Thinadhoo,MV,81.5,broken clouds,0.5333,72.9333,
139,Saint-Joseph,RE,82.78,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
147,Hithadhoo,MV,81.39,light rain,-0.6,73.0833,Scoop Guest House
152,Maputo,MZ,86.23,clear sky,-25.9653,32.5892,Pestana Rovuma
154,Mahibadhoo,MV,82.27,overcast clouds,3.7833,72.9667,Omadhoo Inn
