City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Saskylakh,RU,2022-02-09 18:41:32,71.9167,114.0833,-9.76,97,40,7.25
1,Cape Town,ZA,2022-02-09 18:42:23,-33.9258,18.4232,71.89,75,0,9.22
2,Tahoua,NE,2022-02-09 18:46:00,14.8888,5.2692,85.98,6,0,9.22
3,Tiksi,RU,2022-02-09 18:46:00,71.6872,128.8694,-12.23,93,100,12.95
4,Verkh-Usugli,RU,2022-02-09 18:46:01,52.7,115.1667,-3.6,100,100,1.19
5,Nikolskoye,RU,2022-02-09 18:46:01,59.7035,30.7861,35.71,93,100,8.61
6,Requena,ES,2022-02-09 18:46:02,39.4883,-1.1004,48.13,84,0,4.7
7,Ribeira Grande,PT,2022-02-09 18:46:02,38.5167,-28.7,61.2,67,20,11.5
8,Bluff,NZ,2022-02-09 18:46:03,-46.6,168.3333,59.81,96,73,6.55
9,Punta Arenas,CL,2022-02-09 18:46:03,-53.15,-70.9167,53.11,37,37,28.83
10,Srednekolymsk,RU,2022-02-09 18:46:04,67.45,153.6833,-43.24,99,90,6.44
11,Vaini,TO,2022-02-09 18:46:05,-21.2,-175.2,78.96,94,20,6.91
12,Ushuaia,AR,2022-02-09 18:46:05,-54.8,-68.3,58.62,41,40,14.97
13,Bredasdorp,ZA,2022-02-09 18:46:06,-34.5322,20.0403,70.92,64,7,12.66
14,Mataura,NZ,2022-02-09 18:46:06,-46.1927,168.8643,59.49,99,100,1.41
15,Saint-Philippe,RE,2022-02-09 18:46:07,-21.3585,55.7679,74.79,82,83,6.82
16,Lavrentiya,RU,2022-02-09 18:46:07,65.5833,-171.0,-24.36,92,61,7.65
17,Hermanus,ZA,2022-02-09 18:46:08,-34.4187,19.2345,69.91,89,13,10.56
18,Hobart,AU,2022-02-09 18:45:44,-42.8794,147.3294,62.46,80,100,6.91
19,Caxito,AO,2022-02-09 18:46:09,-8.5785,13.6643,79.45,80,36,5.61
20,Madang,PG,2022-02-09 18:46:09,-5.2246,145.7966,76.24,92,97,4.07
21,Lillooet,CA,2022-02-09 18:46:09,50.6856,-121.942,47.16,91,54,5.32
22,Nizhniy Odes,RU,2022-02-09 18:46:10,63.6445,54.856,14.72,87,100,13.44
23,Kaitangata,NZ,2022-02-09 18:46:10,-46.2817,169.8464,58.62,99,100,7.96
24,Port Elizabeth,ZA,2022-02-09 18:46:10,-33.918,25.5701,69.1,88,0,5.75
25,Hilo,US,2022-02-09 18:41:14,19.7297,-155.09,73.26,92,100,8.05
26,Conde,BR,2022-02-09 18:46:11,-7.2597,-34.9075,85.46,62,40,10.36
27,Faya,SA,2022-02-09 18:46:12,18.3851,42.4509,59.11,79,5,3.67
28,Tasiilaq,GL,2022-02-09 18:46:12,65.6145,-37.6368,14.16,64,26,11.1
29,Yulara,AU,2022-02-09 18:46:12,-25.2406,130.9889,75.04,53,0,5.75
30,Torbay,CA,2022-02-09 18:45:36,47.6666,-52.7314,39.38,88,75,26.46
31,Rikitea,PF,2022-02-09 18:41:47,-23.1203,-134.9692,78.78,67,0,16.49
32,Longyearbyen,SJ,2022-02-09 18:46:13,78.2186,15.6401,8.44,72,75,9.22
33,Bereda,ES,2022-02-09 18:46:14,43.2686,-7.5406,55.15,86,0,2.17
34,Tuatapere,NZ,2022-02-09 18:46:14,-46.1333,167.6833,59.83,97,48,0.96
35,Pozo Colorado,PY,2022-02-09 18:46:15,-23.4923,-58.7972,100.51,15,0,5.5
